Date : 2024-09-04 04:25:08
Directory : c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain
Total : 386 files,  10661 codes, 21 comments, 1245 blanks, all 11927 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Mask.cs                                  | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\MaskType.cs                              | C#                      |         10 |          0 |          0 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Monolith.cs                              | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\MonolithType.cs                          | C#                      |         18 |          0 |          0 |         18 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Moth.cs                                  | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\MothType.cs                              | C#                      |         11 |          0 |          0 |         11 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Mouth.cs                                 | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\MouthType.cs                             | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Mummy.cs                                 | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\MummyType.cs                             | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Mushroom.cs                              | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\MushroomType.cs                          | C#                      |          8 |          0 |          0 |          8 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Orb.cs                                   | C#                      |         21 |          0 |          4 |         25 |
