"filename", "language", "C#", "UnityAssemblyDefinition", "comment", "blank", "total"
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Serialize\Option.cs", "C#", -60, 0, 0, -8, -68
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Serialize\ScriptableObjectSerializable.cs", "C#", -34, 0, 0, -3, -37
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Serialize\SerializableDictionary.cs", "C#", -48, 0, 0, -3, -51
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Stats\IntResource.cs", "C#", -83, 0, 0, -15, -98
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Stats\IntStat.cs", "C#", -42, 0, 0, -8, -50
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Stats\Resource.cs", "C#", -91, 0, 0, -19, -110
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Stats\Stat.cs", "C#", -59, 0, 0, -9, -68
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Stats\StatData.cs", "C#", -28, 0, 0, -1, -29
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Stats\Stats.asmdef", "UnityAssemblyDefinition", 0, -16, 0, 0, -16
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\StringExtension.cs", "C#", -8, 0, 0, -1, -9
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Tests\DirectionTest.cs", "C#", -50, 0, 0, -9, -59
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Tests\EnumerableTest.cs", "C#", -86, 0, 0, -10, -96
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Tests\TestExecuter.cs", "C#", -54, 0, -26, -15, -95
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Tests\Tests.asmdef", "UnityAssemblyDefinition", 0, -26, 0, 0, -26
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\UniqueIdGenerator.cs", "C#", -13, 0, 0, -1, -14
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\UnityInputSystemExtensions.cs", "C#", -43, 0, 0, -4, -47
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Utilities\Utilities.asmdef", "UnityAssemblyDefinition", 0, -23, 0, 0, -23
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\View\BGMManager.cs", "C#", -35, 0, 0, -5, -40
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\View\CharacterArrow.cs", "C#", -19, 0, 0, -2, -21
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\View\CharacterView.cs", "C#", -56, 0, 0, -9, -65
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\View\DamageText.cs", "C#", -12, 0, 0, -2, -14
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\View\DamageTextSpawner.cs", "C#", -51, 0, 0, -6, -57
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\View\EffectViewSpawner.cs", "C#", -21, 0, 0, -2, -23
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\View\EntityView.cs", "C#", -57, 0, 0, -7, -64
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\View\FlushController.cs", "C#", -20, 0, 0, -2, -22
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\View\IDirectional.cs", "C#", -8, 0, 0, -1, -9
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\View\InputReceiver.cs", "C#", -47, 0, 0, -8, -55
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\View\LifeTimer.cs", "C#", -14, 0, 0, -2, -16
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\View\MyInputAction.cs", "C#", -1116, 0, -16, -27, -1159
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\View\OverrideSprite.cs", "C#", -94, 0, 0, -8, -102
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\View\ParticleController.cs", "C#", -40, 0, 0, -3, -43
